职业,学历,公司名称,地区,工资,经验,url地址,工作内容,公司福利
高级开发工程师（外派）,大专,斐立及,虹口区北外滩,18-25K·13薪,5-10年,https://www.zhipin.com/job_detail/6ca2b37d4450fbdd1XNz0tS1EVFX.html,Spring cloud alibaba,"五险一金,定期体检,带薪年假,员工旅游,节日福利,年终奖"
资深后端开发工程师,本科,迷之游戏,静安区南京西路,30-35K,5-10年,https://www.zhipin.com/job_detail/098886ef3d8ac9be1XNy39y5FVdX.html,"中大型项目架构设计经验,大数据处理开发经验,后端开发经验","考勤自由,员工旅游,包吃,休假自由,五险一金,带薪年假,定期体检,零食下午茶,节日福利"
后端Java资深开发工程师,本科,慧度资产,浦东新区联洋,20-35K,5-10年,https://www.zhipin.com/job_detail/473f9794261b7eb31nN729u8EVpR.html,"SQL,微服务架构,Spring,NoSQL,GIT,Maven,Java,J2EE","零食下午茶,节日福利,带薪年假,年终奖,五险一金,交通补助,通讯补贴"
开发工程师,本科,启明信息,,面议,在校/应届,https://www.zhipin.com/job_detail/105339dc2089d4ac1XN92tm4FlNZ.html,"后端开发,前端开发,JQuery,Vue,React,SpringBoot,MySQL,SQL Server","补充医疗保险,五险一金,企业年金,节日福利,免费工装,带薪年假,免费班车,法定节假日三薪,有无线网,加班补助,定期体检,年终奖,餐补,绩效奖金,通讯补贴,生日福利,股票期权"
JAVA高级工程师,本科,嘉银金科,浦东新区塘桥,25-40K·14薪,5-10年,https://www.zhipin.com/job_detail/e991a37cdb201de80Xd_09i9Fw~~.html,"HTML/CSS,Java,Javascript,微服务架构,高级软件工程师,SpringCloud,Dubbo,Redis","带薪年假,全勤奖,员工旅游,定期体检,五险一金,餐补,年终奖,节日福利"
数据迁移工程师,大专,上海筑凯,普陀区长风,15-28K,3-5年,https://www.zhipin.com/job_detail/c6197bf35880440b1XN-3t66EFBT.html,"Python,SQL,计算机相关专业,数仓建设经验,ETL开发经验,数据迁移","补充医疗保险,带薪年假,员工旅游,五险一金,零食下午茶,年终奖,节日福利"
java开发工程师,本科,上海看啊信息技术,徐汇区漕河泾,18-30K,1-3年,https://www.zhipin.com/job_detail/4e2f4ed96fc943721XNz0928ElVZ.html,Java,
急聘java开发+高薪,本科,亚商,普陀区真如,25-30K,3-5年,https://www.zhipin.com/job_detail/fa5977d2ff9ff1121XJ_3dS0GVVW.html,"后端工程师,Java,Java开发经验,金融行业,行情框架开发","节日福利,加班补助,定期体检,餐补,五险一金,补充医疗保险,带薪年假,免费班车,年终奖"
java后端工程师,大专,云养,长宁区中山公园,15-25K,3-5年,https://www.zhipin.com/job_detail/ff5feb5511a48fd21XV-3Ni6ElJW.html,"后端开发,音视频编解码,多进程,SpringBoot,SpringCloud,GIT,Redis,MySQL","带薪年假,五险一金,零食下午茶,补充医疗保险,节日福利,加班补助,员工旅游"
java开发工程师,本科,上海上诗商贸有限公司,长宁区仙霞,15-30K,5-10年,https://www.zhipin.com/job_detail/44718c59f340620b1XNy3t2_E1tZ.html,"后端工程师,全栈工程师,Java,JavaScript",五险一金
中高级大数据开发工程师,本科,全宗软件,闵行区华漕,16-30K,经验不限,https://www.zhipin.com/job_detail/7ca00cd6a1aab3711XF82dm6ElVS.html,"Java,数学/统计相关专业,数仓建设经验,医院或政务信息化经验","股票期权,五险一金,加班补助,节日福利,年终奖,带薪年假,员工旅游"
高薪诚聘高级java开发师,本科,奇梦乐通,嘉定区南翔,20-30K,5-10年,https://www.zhipin.com/job_detail/860813b41e1f26961XN-09y5F1VX.html,Java,"员工旅游,交通补助,带薪年假,年终奖,节日福利,五险一金"
高级java开发工程师,本科,美嘉林,徐汇区田林,15-30K·13薪,5-10年,https://www.zhipin.com/job_detail/15e9bae3325d68781XJ_3Nm4E1NZ.html,全栈工程师,"定期体检,员工旅游,年终奖,节日福利,五险一金,带薪年假"
java工程师,本科,上海遥点信息技术,浦东新区花木,20-30K,3-5年,https://www.zhipin.com/job_detail/26a9a70a98af64e11XBy2t-7EVdR.html,"Java,Spring,MyBatis",
Java工程师,本科,宏崛,虹口区北外滩,18-35K,5-10年,https://www.zhipin.com/job_detail/424bbce71a5338c11XN52969ElJU.html,"后端工程师,Java,C/C++,Python,Java开发经验,金融行业","交通补助,节日福利,年终奖,住房补贴,补充医疗保险,全勤奖,餐补,零食下午茶,带薪年假,加班补助,五险一金,员工旅游"
高级开发工程师（外派）,大专,斐立及,虹口区北外滩,18-25K·13薪,5-10年,https://www.zhipin.com/job_detail/6ca2b37d4450fbdd1XNz0tS1EVFX.html,Spring cloud alibaba,"五险一金,定期体检,带薪年假,员工旅游,节日福利,年终奖"
资深后端开发工程师,本科,迷之游戏,静安区南京西路,30-35K,5-10年,https://www.zhipin.com/job_detail/098886ef3d8ac9be1XNy39y5FVdX.html,"中大型项目架构设计经验,大数据处理开发经验,后端开发经验","考勤自由,员工旅游,包吃,休假自由,五险一金,带薪年假,定期体检,零食下午茶,节日福利"
后端Java资深开发工程师,本科,慧度资产,浦东新区联洋,20-35K,5-10年,https://www.zhipin.com/job_detail/473f9794261b7eb31nN729u8EVpR.html,"SQL,微服务架构,Spring,NoSQL,GIT,Maven,Java,J2EE","零食下午茶,节日福利,带薪年假,年终奖,五险一金,交通补助,通讯补贴"
开发工程师,本科,启明信息,,面议,在校/应届,https://www.zhipin.com/job_detail/105339dc2089d4ac1XN92tm4FlNZ.html,"后端开发,前端开发,JQuery,Vue,React,SpringBoot,MySQL,SQL Server","补充医疗保险,五险一金,企业年金,节日福利,免费工装,带薪年假,免费班车,法定节假日三薪,有无线网,加班补助,定期体检,年终奖,餐补,绩效奖金,通讯补贴,生日福利,股票期权"
JAVA高级工程师,本科,嘉银金科,浦东新区塘桥,25-40K·14薪,5-10年,https://www.zhipin.com/job_detail/e991a37cdb201de80Xd_09i9Fw~~.html,"HTML/CSS,Java,Javascript,微服务架构,高级软件工程师,SpringCloud,Dubbo,Redis","带薪年假,全勤奖,员工旅游,定期体检,五险一金,餐补,年终奖,节日福利"
数据迁移工程师,大专,上海筑凯,普陀区长风,15-28K,3-5年,https://www.zhipin.com/job_detail/c6197bf35880440b1XN-3t66EFBT.html,"Python,SQL,计算机相关专业,数仓建设经验,ETL开发经验,数据迁移","补充医疗保险,带薪年假,员工旅游,五险一金,零食下午茶,年终奖,节日福利"
java开发工程师,本科,上海看啊信息技术,徐汇区漕河泾,18-30K,1-3年,https://www.zhipin.com/job_detail/4e2f4ed96fc943721XNz0928ElVZ.html,Java,
急聘java开发+高薪,本科,亚商,普陀区真如,25-30K,3-5年,https://www.zhipin.com/job_detail/fa5977d2ff9ff1121XJ_3dS0GVVW.html,"后端工程师,Java,Java开发经验,金融行业,行情框架开发","节日福利,加班补助,定期体检,餐补,五险一金,补充医疗保险,带薪年假,免费班车,年终奖"
java后端工程师,大专,云养,长宁区中山公园,15-25K,3-5年,https://www.zhipin.com/job_detail/ff5feb5511a48fd21XV-3Ni6ElJW.html,"后端开发,音视频编解码,多进程,SpringBoot,SpringCloud,GIT,Redis,MySQL","带薪年假,五险一金,零食下午茶,补充医疗保险,节日福利,加班补助,员工旅游"
java开发工程师,本科,上海上诗商贸有限公司,长宁区仙霞,15-30K,5-10年,https://www.zhipin.com/job_detail/44718c59f340620b1XNy3t2_E1tZ.html,"后端工程师,全栈工程师,Java,JavaScript",五险一金
中高级大数据开发工程师,本科,全宗软件,闵行区华漕,16-30K,经验不限,https://www.zhipin.com/job_detail/7ca00cd6a1aab3711XF82dm6ElVS.html,"Java,数学/统计相关专业,数仓建设经验,医院或政务信息化经验","股票期权,五险一金,加班补助,节日福利,年终奖,带薪年假,员工旅游"
高薪诚聘高级java开发师,本科,奇梦乐通,嘉定区南翔,20-30K,5-10年,https://www.zhipin.com/job_detail/860813b41e1f26961XN-09y5F1VX.html,Java,"员工旅游,交通补助,带薪年假,年终奖,节日福利,五险一金"
高级java开发工程师,本科,美嘉林,徐汇区田林,15-30K·13薪,5-10年,https://www.zhipin.com/job_detail/15e9bae3325d68781XJ_3Nm4E1NZ.html,全栈工程师,"定期体检,员工旅游,年终奖,节日福利,五险一金,带薪年假"
java工程师,本科,上海遥点信息技术,浦东新区花木,20-30K,3-5年,https://www.zhipin.com/job_detail/26a9a70a98af64e11XBy2t-7EVdR.html,"Java,Spring,MyBatis",
Java工程师,本科,宏崛,虹口区北外滩,18-35K,5-10年,https://www.zhipin.com/job_detail/424bbce71a5338c11XN52969ElJU.html,"后端工程师,Java,C/C++,Python,Java开发经验,金融行业","交通补助,节日福利,年终奖,住房补贴,补充医疗保险,全勤奖,餐补,零食下午茶,带薪年假,加班补助,五险一金,员工旅游"
高级开发工程师（外派）,大专,斐立及,虹口区北外滩,18-25K·13薪,5-10年,https://www.zhipin.com/job_detail/6ca2b37d4450fbdd1XNz0tS1EVFX.html,Spring cloud alibaba,"五险一金,定期体检,带薪年假,员工旅游,节日福利,年终奖"
资深后端开发工程师,本科,迷之游戏,静安区南京西路,30-35K,5-10年,https://www.zhipin.com/job_detail/098886ef3d8ac9be1XNy39y5FVdX.html,"中大型项目架构设计经验,大数据处理开发经验,后端开发经验","考勤自由,员工旅游,包吃,休假自由,五险一金,带薪年假,定期体检,零食下午茶,节日福利"
Java高级开发工程师,本科,歆广,,21-24K,5-10年,https://www.zhipin.com/job_detail/c71be960f2816d701XZ-3dq5FFFQ.html,"SQL,数据结构,服务器配置,高级软件工程师,客户端开发,WEB开发,Linux,Spring","零食下午茶,员工旅游,人才积分,节日福利,年终奖,带薪年假,五险一金,免费班车,高新落户,加班补助,住房补贴,包吃,定期体检"
开发工程师,本科,启明信息,,面议,在校/应届,https://www.zhipin.com/job_detail/105339dc2089d4ac1XN92tm4FlNZ.html,"后端开发,前端开发,JQuery,Vue,React,SpringBoot,MySQL,SQL Server","补充医疗保险,五险一金,企业年金,节日福利,免费工装,带薪年假,免费班车,法定节假日三薪,有无线网,加班补助,定期体检,年终奖,餐补,绩效奖金,通讯补贴,生日福利,股票期权"
JAVA高级工程师,本科,嘉银金科,浦东新区塘桥,25-40K·14薪,5-10年,https://www.zhipin.com/job_detail/e991a37cdb201de80Xd_09i9Fw~~.html,"HTML/CSS,Java,Javascript,微服务架构,高级软件工程师,SpringCloud,Dubbo,Redis","带薪年假,全勤奖,员工旅游,定期体检,五险一金,餐补,年终奖,节日福利"
数据迁移工程师,大专,上海筑凯,普陀区长风,15-28K,3-5年,https://www.zhipin.com/job_detail/c6197bf35880440b1XN-3t66EFBT.html,"Python,SQL,计算机相关专业,数仓建设经验,ETL开发经验,数据迁移","补充医疗保险,带薪年假,员工旅游,五险一金,零食下午茶,年终奖,节日福利"
java开发工程师,本科,上海看啊信息技术,徐汇区漕河泾,18-30K,1-3年,https://www.zhipin.com/job_detail/4e2f4ed96fc943721XNz0928ElVZ.html,Java,
后端Java资深开发工程师,本科,慧度资产,浦东新区联洋,20-35K,5-10年,https://www.zhipin.com/job_detail/473f9794261b7eb31nN729u8EVpR.html,"SQL,微服务架构,Spring,NoSQL,GIT,Maven,Java,J2EE","零食下午茶,节日福利,带薪年假,年终奖,五险一金,交通补助,通讯补贴"
java开发工程师,本科,上海上诗商贸有限公司,长宁区仙霞,15-30K,5-10年,https://www.zhipin.com/job_detail/44718c59f340620b1XNy3t2_E1tZ.html,"后端工程师,全栈工程师,Java,JavaScript",五险一金
java工程师,本科,上海遥点信息技术,浦东新区花木,20-30K,3-5年,https://www.zhipin.com/job_detail/26a9a70a98af64e11XBy2t-7EVdR.html,"Java,Spring,MyBatis",
容器云开发工程师,本科,寻序智能,嘉定区嘉定镇,22-40K,3-5年,https://www.zhipin.com/job_detail/7d38d85fdd07f1c11Xx62N67F1dR.html,"Java,Docker,Kubernetes,运维开发经验","节日福利,团建聚餐,餐补,住房补贴,零食下午茶,绩效奖金,带薪年假,年终奖,股票期权,员工旅游"
高薪诚聘高级java开发师,本科,奇梦乐通,嘉定区南翔,20-30K,5-10年,https://www.zhipin.com/job_detail/860813b41e1f26961XN-09y5F1VX.html,Java,"员工旅游,交通补助,带薪年假,年终奖,节日福利,五险一金"
java后端工程师,大专,云养,长宁区中山公园,15-25K,3-5年,https://www.zhipin.com/job_detail/ff5feb5511a48fd21XV-3Ni6ElJW.html,"后端开发,音视频编解码,多进程,SpringBoot,SpringCloud,GIT,Redis,MySQL","带薪年假,五险一金,零食下午茶,补充医疗保险,节日福利,加班补助,员工旅游"
高级java开发工程师,本科,美嘉林,徐汇区田林,15-30K·13薪,5-10年,https://www.zhipin.com/job_detail/15e9bae3325d68781XJ_3Nm4E1NZ.html,全栈工程师,"定期体检,员工旅游,年终奖,节日福利,五险一金,带薪年假"
java高级开发工程师,本科,炙云科技,嘉定区外冈,25-30K·13薪,3-5年,https://www.zhipin.com/job_detail/87d8c566a59f82491Xx63t-8EFFQ.html,"Java,Spring,Python","定期体检,住房补贴,零食下午茶,员工旅游,工龄奖,生日福利,年终奖,加班补助,有无线网,餐补,夜班补助,五险一金,意外险,团建聚餐,节日福利,绩效奖金,通讯补贴,包吃,带薪年假"
高级开发工程师（外派）,大专,斐立及,虹口区北外滩,18-25K·13薪,5-10年,https://www.zhipin.com/job_detail/6ca2b37d4450fbdd1XNz0tS1EVFX.html,Spring cloud alibaba,"五险一金,定期体检,带薪年假,员工旅游,节日福利,年终奖"
资深后端开发工程师,本科,迷之游戏,静安区南京西路,30-35K,5-10年,https://www.zhipin.com/job_detail/098886ef3d8ac9be1XNy39y5FVdX.html,"中大型项目架构设计经验,大数据处理开发经验,后端开发经验","考勤自由,员工旅游,包吃,休假自由,五险一金,带薪年假,定期体检,零食下午茶,节日福利"
后端Java资深开发工程师,本科,慧度资产,浦东新区联洋,20-35K,5-10年,https://www.zhipin.com/job_detail/473f9794261b7eb31nN729u8EVpR.html,"SQL,微服务架构,Spring,NoSQL,GIT,Maven,Java,J2EE","零食下午茶,节日福利,带薪年假,年终奖,五险一金,交通补助,通讯补贴"
开发工程师,本科,启明信息,,面议,在校/应届,https://www.zhipin.com/job_detail/105339dc2089d4ac1XN92tm4FlNZ.html,"后端开发,前端开发,JQuery,Vue,React,SpringBoot,MySQL,SQL Server","补充医疗保险,五险一金,企业年金,节日福利,免费工装,带薪年假,免费班车,法定节假日三薪,有无线网,加班补助,定期体检,年终奖,餐补,绩效奖金,通讯补贴,生日福利,股票期权"
JAVA高级工程师,本科,嘉银金科,浦东新区塘桥,25-40K·14薪,5-10年,https://www.zhipin.com/job_detail/e991a37cdb201de80Xd_09i9Fw~~.html,"HTML/CSS,Java,Javascript,微服务架构,高级软件工程师,SpringCloud,Dubbo,Redis","带薪年假,全勤奖,员工旅游,定期体检,五险一金,餐补,年终奖,节日福利"
数据迁移工程师,大专,上海筑凯,普陀区长风,15-28K,3-5年,https://www.zhipin.com/job_detail/c6197bf35880440b1XN-3t66EFBT.html,"Python,SQL,计算机相关专业,数仓建设经验,ETL开发经验,数据迁移","补充医疗保险,带薪年假,员工旅游,五险一金,零食下午茶,年终奖,节日福利"
java开发工程师,本科,上海看啊信息技术,徐汇区漕河泾,18-30K,1-3年,https://www.zhipin.com/job_detail/4e2f4ed96fc943721XNz0928ElVZ.html,Java,
急聘java开发+高薪,本科,亚商,普陀区真如,25-30K,3-5年,https://www.zhipin.com/job_detail/fa5977d2ff9ff1121XJ_3dS0GVVW.html,"后端工程师,Java,Java开发经验,金融行业,行情框架开发","节日福利,加班补助,定期体检,餐补,五险一金,补充医疗保险,带薪年假,免费班车,年终奖"
java后端工程师,大专,云养,长宁区中山公园,15-25K,3-5年,https://www.zhipin.com/job_detail/ff5feb5511a48fd21XV-3Ni6ElJW.html,"后端开发,音视频编解码,多进程,SpringBoot,SpringCloud,GIT,Redis,MySQL","带薪年假,五险一金,零食下午茶,补充医疗保险,节日福利,加班补助,员工旅游"
java开发工程师,本科,上海上诗商贸有限公司,长宁区仙霞,15-30K,5-10年,https://www.zhipin.com/job_detail/44718c59f340620b1XNy3t2_E1tZ.html,"后端工程师,全栈工程师,Java,JavaScript",五险一金
中高级大数据开发工程师,本科,全宗软件,闵行区华漕,16-30K,经验不限,https://www.zhipin.com/job_detail/7ca00cd6a1aab3711XF82dm6ElVS.html,"Java,数学/统计相关专业,数仓建设经验,医院或政务信息化经验","股票期权,五险一金,加班补助,节日福利,年终奖,带薪年假,员工旅游"
高薪诚聘高级java开发师,本科,奇梦乐通,嘉定区南翔,20-30K,5-10年,https://www.zhipin.com/job_detail/860813b41e1f26961XN-09y5F1VX.html,Java,"员工旅游,交通补助,带薪年假,年终奖,节日福利,五险一金"
高级java开发工程师,本科,美嘉林,徐汇区田林,15-30K·13薪,5-10年,https://www.zhipin.com/job_detail/15e9bae3325d68781XJ_3Nm4E1NZ.html,全栈工程师,"定期体检,员工旅游,年终奖,节日福利,五险一金,带薪年假"
java工程师,本科,上海遥点信息技术,浦东新区花木,20-30K,3-5年,https://www.zhipin.com/job_detail/26a9a70a98af64e11XBy2t-7EVdR.html,"Java,Spring,MyBatis",
Java工程师,本科,宏崛,虹口区北外滩,18-35K,5-10年,https://www.zhipin.com/job_detail/424bbce71a5338c11XN52969ElJU.html,"后端工程师,Java,C/C++,Python,Java开发经验,金融行业","交通补助,节日福利,年终奖,住房补贴,补充医疗保险,全勤奖,餐补,零食下午茶,带薪年假,加班补助,五险一金,员工旅游"
高级开发工程师（外派）,大专,斐立及,虹口区北外滩,18-25K·13薪,5-10年,https://www.zhipin.com/job_detail/6ca2b37d4450fbdd1XNz0tS1EVFX.html,Spring cloud alibaba,"五险一金,定期体检,带薪年假,员工旅游,节日福利,年终奖"
资深后端开发工程师,本科,迷之游戏,静安区南京西路,30-35K,5-10年,https://www.zhipin.com/job_detail/098886ef3d8ac9be1XNy39y5FVdX.html,"中大型项目架构设计经验,大数据处理开发经验,后端开发经验","考勤自由,员工旅游,包吃,休假自由,五险一金,带薪年假,定期体检,零食下午茶,节日福利"
Java高级开发工程师,本科,歆广,,21-24K,5-10年,https://www.zhipin.com/job_detail/c71be960f2816d701XZ-3dq5FFFQ.html,"SQL,数据结构,服务器配置,高级软件工程师,客户端开发,WEB开发,Linux,Spring","零食下午茶,员工旅游,人才积分,节日福利,年终奖,带薪年假,五险一金,免费班车,高新落户,加班补助,住房补贴,包吃,定期体检"
开发工程师,本科,启明信息,,面议,在校/应届,https://www.zhipin.com/job_detail/105339dc2089d4ac1XN92tm4FlNZ.html,"后端开发,前端开发,JQuery,Vue,React,SpringBoot,MySQL,SQL Server","补充医疗保险,五险一金,企业年金,节日福利,免费工装,带薪年假,免费班车,法定节假日三薪,有无线网,加班补助,定期体检,年终奖,餐补,绩效奖金,通讯补贴,生日福利,股票期权"
JAVA高级工程师,本科,嘉银金科,浦东新区塘桥,25-40K·14薪,5-10年,https://www.zhipin.com/job_detail/e991a37cdb201de80Xd_09i9Fw~~.html,"HTML/CSS,Java,Javascript,微服务架构,高级软件工程师,SpringCloud,Dubbo,Redis","带薪年假,全勤奖,员工旅游,定期体检,五险一金,餐补,年终奖,节日福利"
数据迁移工程师,大专,上海筑凯,普陀区长风,15-28K,3-5年,https://www.zhipin.com/job_detail/c6197bf35880440b1XN-3t66EFBT.html,"Python,SQL,计算机相关专业,数仓建设经验,ETL开发经验,数据迁移","补充医疗保险,带薪年假,员工旅游,五险一金,零食下午茶,年终奖,节日福利"
java开发工程师,本科,上海看啊信息技术,徐汇区漕河泾,18-30K,1-3年,https://www.zhipin.com/job_detail/4e2f4ed96fc943721XNz0928ElVZ.html,Java,
后端Java资深开发工程师,本科,慧度资产,浦东新区联洋,20-35K,5-10年,https://www.zhipin.com/job_detail/473f9794261b7eb31nN729u8EVpR.html,"SQL,微服务架构,Spring,NoSQL,GIT,Maven,Java,J2EE","零食下午茶,节日福利,带薪年假,年终奖,五险一金,交通补助,通讯补贴"
java开发工程师,本科,上海上诗商贸有限公司,长宁区仙霞,15-30K,5-10年,https://www.zhipin.com/job_detail/44718c59f340620b1XNy3t2_E1tZ.html,"后端工程师,全栈工程师,Java,JavaScript",五险一金
java工程师,本科,上海遥点信息技术,浦东新区花木,20-30K,3-5年,https://www.zhipin.com/job_detail/26a9a70a98af64e11XBy2t-7EVdR.html,"Java,Spring,MyBatis",
容器云开发工程师,本科,寻序智能,嘉定区嘉定镇,22-40K,3-5年,https://www.zhipin.com/job_detail/7d38d85fdd07f1c11Xx62N67F1dR.html,"Java,Docker,Kubernetes,运维开发经验","节日福利,团建聚餐,餐补,住房补贴,零食下午茶,绩效奖金,带薪年假,年终奖,股票期权,员工旅游"
高薪诚聘高级java开发师,本科,奇梦乐通,嘉定区南翔,20-30K,5-10年,https://www.zhipin.com/job_detail/860813b41e1f26961XN-09y5F1VX.html,Java,"员工旅游,交通补助,带薪年假,年终奖,节日福利,五险一金"
java后端工程师,大专,云养,长宁区中山公园,15-25K,3-5年,https://www.zhipin.com/job_detail/ff5feb5511a48fd21XV-3Ni6ElJW.html,"后端开发,音视频编解码,多进程,SpringBoot,SpringCloud,GIT,Redis,MySQL","带薪年假,五险一金,零食下午茶,补充医疗保险,节日福利,加班补助,员工旅游"
高级java开发工程师,本科,美嘉林,徐汇区田林,15-30K·13薪,5-10年,https://www.zhipin.com/job_detail/15e9bae3325d68781XJ_3Nm4E1NZ.html,全栈工程师,"定期体检,员工旅游,年终奖,节日福利,五险一金,带薪年假"
java高级开发工程师,本科,炙云科技,嘉定区外冈,25-30K·13薪,3-5年,https://www.zhipin.com/job_detail/87d8c566a59f82491Xx63t-8EFFQ.html,"Java,Spring,Python","定期体检,住房补贴,零食下午茶,员工旅游,工龄奖,生日福利,年终奖,加班补助,有无线网,餐补,夜班补助,五险一金,意外险,团建聚餐,节日福利,绩效奖金,通讯补贴,包吃,带薪年假"
